Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real
117,1712327099,60,138.92443989449805,384.4125388173492,1503.1714,1391.2347769319301,60713485.66530986,427
117,1712327099,75,138.49548729110273,381.75384739384094,1451.7375,1397.8302553027963,58071460.12629983,427
117,1712327099,90,132.09844813622905,366.0300534109187,1474.9575,1413.194124276094,54942161.16360588,427
118,1712324069,100,144.0,437.0,1306.6925,1336.1134096668736,65958574.58161441,450
118,1712324069,105,143.34922392534952,404.96913462633177,1429.2133,1354.9052678503106,63009869.4813778,450
118,1712324069,110,141.35416513141735,407.03439658092776,1363.2605,1349.8819958313452,63194725.63484597,450
118,1712324069,120,144.12494579357175,410.440007796511,1323.5084,1350.9792229056354,64155301.33734201,450
118,1712324069,135,147.0,398.0,1350.1387,1349.0037121458915,63198125.906610884,450
118,1712324069,45,148.49242404917499,411.1119069061367,1348.8275,1351.3242496395083,63204137.80413847,450
118,1712324069,60,144.88616221019868,404.5108156774056,1372.8411,1341.9144409140831,62341319.18154615,450
118,1712324069,70,145.7737973711325,460.4052562688658,1384.5635,1333.3219670440114,69500740.85413752,450
118,1712324069,75,142.0,428.0,1386.3694,1338.5047026108596,66650841.66650599,450
118,1712324069,90,148.0,407.0,1373.0663,1331.6134926822563,66667229.51113579,450
11,1712325523,0,148.03040228277433,415.05903194605946,1404.4353,1381.5930577403667,69389129.73195256,522
11,1712325523,105,142.0211251891774,393.8146772277539,1412.8931,1374.0899153201324,62797283.22004483,522
11,1712325523,120,147.8681845428556,414.34285320251394,1434.1992,1375.107202298954,68901121.47838967,522
11,1712325523,135,147.41099009232656,415.01445757949205,1392.2367,1372.868920972985,67575354.0281301,522
11,1712325523,15,150.05332385522155,401.15084444632544,1402.2606,1381.107738842982,66103959.70423996,522
11,1712325523,30,148.78844041120936,396.5652531425314,1417.3452,1385.4177201842735,66026237.70854093,522
11,1712325523,45,152.45327152934436,401.9203901271992,1402.6508,1378.021473480534,67228155.6052194,522
11,1712325523,60,149.77650015940418,409.71819583709,1494.8556,1401.8614104272067,66745425.47325994,522
11,1712325523,75,150.02999700059985,435.97362305534034,1434.9352,1372.8809322594034,69099843.08248134,522
11,1712325523,90,142.0,355.0,1427.3126,1370.3276694647584,55614748.46522989,522
11,1715777721,10,142.35167719419397,417.0803279945004,1385.8535,1356.5568482288309,65868974.32259861,469
11,1715777721,100,134.03357788255897,440.0920358288707,1378.8441,1345.5611758526577,65083448.5148187,469
11,1715777721,115,136.03308421115798,410.1475344312093,1385.6992,1346.513913323305,62668104.0399792,469
11,1715777721,130,135.05924625881784,406.1489874418007,1384.3485,1368.8788420863052,62795948.00186717,469
11,1715777721,145,137.00364958642524,329.0060789711947,1413.5747,1347.8919031125972,54007332.77391561,469
11,1715777721,25,135.09256086106296,394.2854296065225,1377.705,1368.960803448017,60785966.55550275,469
11,1715777721,40,131.0953851209111,403.2790597092787,1428.675,1363.3881231364935,61762845.36620645,469
11,1715777721,55,138.05795884337854,388.0824654632054,1409.0542,1363.0160747143627,61398422.10158271,469
11,1715777721,70,138.03260484392808,395.0620204474229,1373.3463,1359.992203393516,62454921.95644098,469
11,1715777721,85,134.0,388.0,1386.4213,1352.66225541657,60810284.354505695,469
121,1712325160,0,146.00342461736986,381.0,1284.6117,1270.793822953004,55822160.26085597,382
121,1712325160,10,142.27438279606065,375.6168260341914,1314.688,1250.090753873455,53112605.859821744,382
121,1712325160,13,144.88616221019868,345.0985366529392,1305.5013,1265.137345233304,51916176.09899292,382
121,1712325160,15,143.50261321662404,358.34341071101056,1269.7184,1262.1771355996002,51325171.04202178,382
121,1712325160,27,141.088624630053,345.2448406565984,1294.737,1264.0808701482283,49468540.77238097,382
121,1712325160,30,144.77914214416384,314.5313974788527,1311.8506,1257.7325716392052,48938374.36248106,382
121,1712325160,45,145.08618128546908,373.2264728017025,1312.6498,1271.838207126144,53071264.70695971,382
121,1712325160,5,146.34206503941374,376.9681684174408,1232.7325,1232.2875256325174,53029029.09054542,382
121,1712325160,55,144.03124660989366,361.0678606577993,1293.51,1274.078572531345,52095798.75223445,382
121,1712325160,60,151.0,345.0,1270.5311,1281.94690351646,51850906.40653128,382
122,1712324858,105,139.94641831786907,359.2018930907798,1371.1227,1281.761986480621,49173516.84934291,333
122,1712324858,120,136.3084736911099,362.6044677055152,1283.5801,1283.5100487347545,49403585.28584947,333
122,1712324858,135,132.30646242719968,308.71507899679926,1181.3348,1245.9620055314178,38976183.45703382,333
122,1712324858,15,126.09916732476864,363.2698721336522,1273.9957,1218.8865003907376,46192141.70530819,333
122,1712324858,30,133.9589489358587,350.2913073429028,1262.3002,1254.331747924516,48131217.831359655,333
122,1712324858,45,131.54847015454038,348.38197427536346,1338.7688,1287.9948921790935,47508979.59291853,333
122,1712324858,55,134.08206442324789,363.0550922380789,1283.8528,1273.8763833116132,47956350.326149456,333
122,1712324858,60,134.5362404707371,357.5262228144951,1348.952,1276.8287033269849,48021527.532128245,333
122,1712324858,75,133.41664064126334,316.53277871335854,1257.9089,1252.4872857337248,40278738.621911086,333
122,1712324858,90,131.79529581893277,310.6638054231616,1320.3712,1255.6987542830466,40893085.631981336,333
139,1712330485,0,125.4472000484666,393.7537301410616,1296.466,1274.4488018175289,48281218.40805463,346
139,1712330485,10,140.0,385.0,1334.4395,1271.5402948326478,51928434.10067008,346
139,1712330485,12,143.0,353.0,1268.8995,1272.65211910036,51276426.53067382,346
139,1712330485,15,148.0,344.0,1356.4938,1267.5904366500567,49750389.45764136,346
139,1712330485,20,140.0,341.0,1268.7369,1271.8209009120749,49043957.58097183,346
139,1712330485,30,136.09188072769072,351.17232237179513,1275.8412,1260.381797092442,48093648.61345415,346
139,1712330485,32,146.0,349.0,1274.8212,1266.7104122933918,50289670.078460455,346
139,1712330485,40,137.44089638822936,348.9699127432048,1254.9341,1268.544641363587,49074917.99579191,346
139,1712330485,45,133.06013678032951,349.17330940379736,1343.9313,1273.387653355824,47916304.00812607,346
139,1712330485,5,149.0,346.0,1246.216,1275.0070284023225,50935255.777644746,346
13,1712325691,0,106.47065323364932,275.230812228573,1204.6067,1184.4877344354552,29494929.07517725,423
13,1712325691,10,153.18289721767243,367.8872109764078,1342.0742,1248.7869961014972,54394663.97618881,423
13,1712325691,105,118.00423721205946,294.0153057240388,1245.6602,1222.7329059290205,36556045.68855981,423
13,1712325691,110,146.0,187.0,1226.444,1200.3725612681328,29458343.026081186,423
13,1712325691,15,109.03669107231748,260.23066690918654,1207.2877,1180.083570469979,28181575.746393483,423
13,1712325691,20,156.0416611036937,362.4417194529349,1316.9194,1265.750562612757,55656317.98864537,423
13,1712325691,27,152.26621424334422,340.58772731852804,1292.1613,1264.2983036397454,54450799.34115609,423
13,1712325691,3,120.59850745345068,345.878591416121,1242.5244,1214.8882587505057,42408104.44820432,423
13,1712325691,30,139.12943613772032,303.27874966769434,1294.9758,1289.5691235364034,45287088.480351664,423
13,1712325691,8,144.00694427700353,365.4216742340279,1317.2587,1238.2881417439385,51796354.68100735,423
145,1712327388,0,138.1774221788784,378.4772119956497,1303.1191,1249.4097762774852,50552368.95796403,384
145,1712327388,105,140.0,357.0,1322.9149,1240.8251448311394,49281852.27725799,384
145,1712327388,120,142.0,367.0,1317.3585,1244.4365921759277,48952402.2264244,384
145,1712327388,135,144.0,325.0,1255.8856,1244.732875070075,47363330.62929205,384
145,1712327388,15,141.00354605470034,293.0,1256.4188,1233.6965645212747,43526048.49287562,384
145,1712327388,30,141.0,387.0,1247.5454,1231.6523124042017,51140667.3156463,384
145,1712327388,45,138.92443989449805,353.27184999657135,1188.3462,1231.1848689928293,49338502.44002056,384
145,1712327388,60,132.09844813622905,375.9494646890723,1242.253,1235.4610635195131,48957615.56408806,384
145,1712327388,75,146.11296999240005,390.9577982340293,1260.6316,1235.6290609227729,52057052.33667881,384
145,1712327388,90,139.0,391.0,1294.314,1247.363679568139,50652944.29990274,384
