Animal,ID,Frame,Width,Length,Height_Centroid,Height_average,Volume,Real,Peso_estimado
5,1734629259,3,133.5065541462291,388.5061132080163,1295.9707,1302.1176814536082,53679801.417923,301,344.92094844175
5,1734629259,4,138.2931668593933,398.8295375219844,1301.4669,1316.749268758456,55693227.07140603,301,351.3254003941644
5,1734629259,5,133.82077566656082,389.2968019390861,1312.6742,1327.3208806466082,55350608.04384005,301,349.2751586801182
3,1734629197,0,132.00378782444085,414.0,1262.6268,1291.4042871536942,55866149.46227509,329,353.60328788051885
3,1734629197,1,132.0,402.0,1257.6346,1293.493202703501,55759904.98214797,329,351.88316216956844
3,1734629197,2,134.00373129133382,410.0,1268.1016,1297.224931027694,56373503.82767465,329,354.4026203469886
3,1734629197,3,142.0,402.0,1291.005,1294.41110955893,56238279.47700973,329,353.08761656146567
3,1734629197,4,134.0,412.0,1269.6295,1298.7714126298322,56435514.19300167,329,354.79996333788705
3,1734629197,5,132.0,414.0,1268.6084,1317.974714253575,57706204.88887534,329,358.21667987034766
1,1734629131,0,150.0,418.0,1263.2389,1294.453452893585,63731121.29976782,396,373.2343761416551
1,1734629131,1,147.10540438746634,415.1445531378197,1273.8436,1287.8225885459417,62890816.11163303,396,370.902219057031
1,1734629131,2,146.11296999240005,425.19172146221285,1256.8007,1314.8711333344952,64189378.98712573,396,375.19991765076855
1,1734629131,3,147.50254235097103,418.32523232528064,1263.1947,1328.6627097616956,65301114.8593807,396,376.926356704381
1,1734629131,4,150.0,422.0,1272.0597,1311.56909865464,65216461.861500256,396,377.19207254686205
1,1734629131,5,150.0,420.0,1279.9268,1309.7497407921574,65085393.86918032,396,376.63826615181426
28,1734630209,0,130.6981254647518,402.613959022784,1288.5942,1273.308845199197,52629674.498614185,305,343.9178141904713
28,1734630209,1,132.01893803541975,402.1392793548026,1283.8137,1269.681046221365,52486075.08870999,305,343.48546326126956
28,1734630209,2,132.01893803541975,399.0112780360976,1286.1171,1285.930174199953,53378961.53103951,305,345.43339810784374
28,1734630209,3,132.01893803541975,417.0875207915001,1287.7576,1285.3228195922866,54348590.103643626,305,350.0930979989199
28,1734630209,4,132.83448347473634,422.3481975810954,1295.9548,1291.7397151291975,55130159.30200604,305,352.7162539974734
28,1734630209,5,134.0,428.0,1307.2091,1304.3087646623967,55002700.60580599,305,353.0457924337202
22,1734629876,0,134.0,398.0,1237.1621,1313.6043569188628,55130661.25553885,355,349.7996524541463
22,1734629876,1,134.0,390.0,1212.6946,1318.3072087563935,54305028.85029524,355,346.70843628328623
22,1734629876,2,126.0,405.0,1218.3583,1314.040217649094,54335562.99977881,355,348.62223076670904
22,1734629876,3,128.3160161476345,409.1760012512953,1219.2208,1347.4312562337495,57263133.52742455,355,356.52888879129904
22,1734629876,4,127.39309243440164,417.2289539329696,1254.1259,1336.1726995770896,58031316.51533664,355,359.4130190372597
22,1734629876,5,135.94484175576503,409.93901985539264,1269.6508,1340.3680273830869,59363559.56477661,355,361.7977395942399
21,1734629847,0,134.0,422.0,1235.3002,1236.024835335386,54650838.094357,364,351.4458292156447
21,1734629847,1,132.0,414.0,1255.6177,1250.141611464256,54973727.22252755,364,351.33294183832277
21,1734629847,2,142.0,418.0,1261.5156,1258.1172438330716,56261745.026968665,364,355.0800663301443
21,1734629847,3,150.00333329629711,410.0,1271.4037,1266.2070274554806,57584563.1946192,364,357.42863577724523
21,1734629847,4,150.0,412.0,1263.2793,1265.6318739019482,57892533.17601968,364,358.43597598621164
21,1734629847,5,150.0,414.0,1248.2155,1270.7941778390666,58456532.18060008,364,360.07255319020084
2,1734629166,0,143.85061696079026,396.042926966257,1286.9935,1279.155107324125,54504799.123079374,343,347.96574374585254
2,1734629166,1,150.0,394.0,1304.4934,1290.6138190945985,56617937.62985802,343,353.0449396424344
2,1734629166,2,150.0,390.0,1311.9683,1294.499787413261,57175466.61046677,343,353.9258443230984
2,1734629166,3,150.0,388.0,1309.3156,1303.932525781632,56949253.06351752,343,353.1109803188538
2,1734629166,4,145.13442045221387,395.80045477487766,1307.6594,1298.9870554592358,55549882.439660005,343,350.5892874399455
2,1734629166,5,143.95138068111746,384.2095782252181,1307.4081,1297.8581612410512,54349108.36013234,343,346.0959442992089
27,1734630185,0,142.0,422.0,1309.9899,1311.4852685145584,62804406.53862968,361,371.54866875589533
27,1734630185,1,134.0,422.0,1303.8862,1310.7658771714057,60216584.39725935,361,365.34747506134437
27,1734630185,2,134.0,414.0,1293.8003,1314.241599322685,60096325.61223104,361,364.07928255367875
27,1734630185,3,132.0,406.0,1286.6039,1308.7785182752827,59006279.49643783,361,360.4379709092841
27,1734630185,4,142.0,406.0,1286.9335,1315.2440911237825,60695884.31717759,361,364.5313975975637
27,1734630185,5,144.01388821915754,408.6967090643134,1290.0166,1313.75788612847,61076604.12611403,361,365.78292098613974
27,1734630185,6,157.4960316960399,441.7804884781581,1323.1304,1326.9904880188965,65781572.4720692,361,380.92944614403484
25,1734629947,0,142.0,420.0,3060.0,1354.3343449011938,65643231.36300404,397,377.9262059564413
25,1734629947,1,134.0,438.0,3060.0,1357.3788861368669,66453198.1286016,397,382.0208213169803
25,1734629947,2,142.0,444.0,1295.8356,1365.6026329480865,68920599.28226404,397,388.3711372564193
25,1734629947,3,142.0,454.0,1296.4545,1342.8198479556108,69392901.2827909,397,390.6488797600192
25,1734629947,4,148.0,454.0,1290.9785,1369.2404152095512,71948106.8576087,397,396.34037271086055
25,1734629947,5,150.0,453.0,1327.8074,1394.827311460399,73909109.57963984,397,400.5030038727804
